14:58:24 | INFO | GalleryWindow | Starting subprocess: ['python', 'search_server.py']
14:58:30 | INFO | GalleryWindow | Subprocess ready: ['python', 'search_server.py']
14:58:30 | INFO | GalleryWindow | Starting subprocess: ['python', 'encoder_server.py']
14:58:34 | INFO | GalleryWindow | Subprocess ready: ['python', 'encoder_server.py']
14:58:35 | INFO | GalleryWindow | Album map built (21 albums)
14:58:35 | INFO | ThumbnailWorker | Thumbnail index loaded (3264 entries)
14:58:37 | INFO | GalleryWindow | Thumbnail cache loaded
14:59:03 | INFO | GalleryWindow | Checking for folder updates...
14:59:03 | INFO | GalleryWindow | Detected 108 new files and 0 deleted files.
14:59:03 | INFO | GalleryWindow | Directory changed, rebuilding albums...
14:59:03 | INFO | GalleryWindow | Album map built (22 albums)
14:59:22 | INFO | GalleryWindow | Checking for folder updates...
14:59:22 | INFO | GalleryWindow | Detected 0 new files and 108 deleted files.
14:59:22 | INFO | GalleryWindow | Directory changed, rebuilding albums...
14:59:22 | INFO | GalleryWindow | Album map built (21 albums)
14:59:33 | INFO | GalleryWindow | Checking for folder updates...
14:59:33 | INFO | GalleryWindow | Detected 108 new files and 0 deleted files.
14:59:33 | INFO | GalleryWindow | Directory changed, rebuilding albums...
14:59:33 | INFO | GalleryWindow | Album map built (22 albums)
15:09:40 | INFO | GalleryWindow | Starting subprocess: ['python', 'search_server.py']
15:09:47 | INFO | GalleryWindow | Subprocess ready: ['python', 'search_server.py']
15:09:47 | INFO | GalleryWindow | Starting subprocess: ['python', 'encoder_server.py']
15:09:51 | INFO | GalleryWindow | Subprocess ready: ['python', 'encoder_server.py']
15:09:51 | INFO | GalleryWindow | Album map built (22 albums)
15:09:51 | INFO | ThumbnailWorker | Thumbnail index loaded (3264 entries)
15:09:54 | INFO | GalleryWindow | Thumbnail cache loaded
15:09:59 | INFO | GalleryWindow | Checking for folder updates...
15:09:59 | INFO | GalleryWindow | No changes detected.
15:10:38 | INFO | GalleryWindow | Starting subprocess: ['python', 'search_server.py']
15:10:45 | INFO | GalleryWindow | Subprocess ready: ['python', 'search_server.py']
15:10:45 | INFO | GalleryWindow | Starting subprocess: ['python', 'encoder_server.py']
15:10:51 | INFO | GalleryWindow | Subprocess ready: ['python', 'encoder_server.py']
15:10:51 | INFO | GalleryWindow | Album map built (21 albums)
15:10:51 | INFO | ThumbnailWorker | Thumbnail index loaded (3264 entries)
15:10:55 | INFO | GalleryWindow | Thumbnail cache loaded
15:11:40 | INFO | GalleryWindow | Checking for folder updates...
15:11:40 | INFO | GalleryWindow | Detected 108 new files and 0 deleted files.
15:11:40 | INFO | GalleryWindow | Directory changed, rebuilding albums...
